p,hasse_max_N_M,best_a_p,point_count
2,2,-1,4
3,1,-2,6
5,1,-4,10
7,1,1,7
11,1,1,11
13,1,1,13
17,1,1,17
19,1,1,19
23,1,1,23
29,1,1,29
31,1,1,31
37,1,1,37
41,1,1,41
43,1,1,43
47,1,1,47
53,1,1,53
59,1,1,59
61,1,1,61
67,1,1,67
71,1,1,71
73,1,1,73
79,1,1,79
83,1,1,83
89,1,1,89
97,1,1,97
101,1,1,101
103,1,1,103
107,1,1,107
109,1,1,109
113,1,1,113
127,1,1,127
131,1,1,131
137,1,1,137
139,1,1,139
149,1,1,149
151,1,1,151
157,1,1,157
163,1,1,163
167,1,1,167
173,1,1,173
179,1,1,179
181,1,1,181
191,1,1,191
193,1,1,193
197,1,1,197
199,1,1,199
