d,Delta_K,h_K,class_group,num_forms
1,-4,1,trivial,1
2,-8,1,trivial,1
3,-3,1,trivial,1
5,-20,2,Z/2Z,2
6,-24,2,Z/2Z,2
7,-7,1,trivial,1
10,-40,2,Z/2Z,2
11,-11,1,trivial,1
13,-52,2,Z/2Z,2
14,-56,4,Z/4Z,4
15,-15,2,Z/2Z,2
17,-68,4,Z/4Z,4
19,-19,1,trivial,1
21,-84,4,Z/2Z x Z/2Z,4
22,-88,2,Z/2Z,2
23,-23,3,Z/3Z,3
26,-104,6,order 6,6
29,-116,6,order 6,6
30,-120,4,Z/2Z x Z/2Z,4
31,-31,3,Z/3Z,3
33,-132,4,Z/2Z x Z/2Z,4
34,-136,4,Z/4Z,4
35,-35,2,Z/2Z,2
37,-148,2,Z/2Z,2
38,-152,6,order 6,6
39,-39,4,Z/4Z,4
41,-164,8,order 8,8
42,-168,4,Z/2Z x Z/2Z,4
43,-43,1,trivial,1
46,-184,4,Z/4Z,4
47,-47,5,order 5,5
51,-51,2,Z/2Z,2
53,-212,6,order 6,6
55,-55,4,Z/4Z,4
57,-228,4,Z/2Z x Z/2Z,4
58,-232,2,Z/2Z,2
59,-59,3,Z/3Z,3
61,-244,6,order 6,6
62,-248,8,order 8,8
65,-260,8,order 8,8
66,-264,8,order 8,8
67,-67,1,trivial,1
69,-276,8,order 8,8
70,-280,4,Z/2Z x Z/2Z,4
71,-71,7,order 7,7
73,-292,4,Z/4Z,4
74,-296,10,order 10,10
77,-308,8,order 8,8
78,-312,4,Z/2Z x Z/2Z,4
79,-79,5,order 5,5
82,-328,4,Z/4Z,4
83,-83,3,Z/3Z,3
85,-340,4,Z/2Z x Z/2Z,4
86,-344,10,order 10,10
87,-87,6,order 6,6
89,-356,12,order 12,12
91,-91,2,Z/2Z,2
93,-372,4,Z/2Z x Z/2Z,4
94,-376,8,order 8,8
95,-95,8,order 8,8
97,-388,4,Z/4Z,4
101,-404,14,order 14,14
102,-408,4,Z/2Z x Z/2Z,4
103,-103,5,order 5,5
105,-420,8,order 8,8
106,-424,6,order 6,6
107,-107,3,Z/3Z,3
109,-436,6,order 6,6
110,-440,12,order 12,12
111,-111,8,order 8,8
113,-452,8,order 8,8
114,-456,8,order 8,8
115,-115,2,Z/2Z,2
118,-472,6,order 6,6
119,-119,10,order 10,10
122,-488,10,order 10,10
123,-123,2,Z/2Z,2
127,-127,5,order 5,5
129,-516,12,order 12,12
130,-520,4,Z/2Z x Z/2Z,4
131,-131,5,order 5,5
133,-532,4,Z/2Z x Z/2Z,4
134,-536,14,order 14,14
137,-548,8,order 8,8
138,-552,8,order 8,8
139,-139,3,Z/3Z,3
141,-564,8,order 8,8
142,-568,4,Z/4Z,4
143,-143,10,order 10,10
145,-580,8,order 8,8
146,-584,16,order 16,16
149,-596,14,order 14,14
151,-151,7,order 7,7
154,-616,8,order 8,8
155,-155,4,Z/4Z,4
157,-628,6,order 6,6
158,-632,8,order 8,8
159,-159,10,order 10,10
161,-644,16,order 16,16
163,-163,1,trivial,1
165,-660,8,order 8,8
166,-664,10,order 10,10
167,-167,11,order 11,11
170,-680,12,order 12,12
173,-692,14,order 14,14
174,-696,12,order 12,12
177,-708,4,Z/2Z x Z/2Z,4
178,-712,8,order 8,8
179,-179,5,order 5,5
181,-724,10,order 10,10
182,-728,12,order 12,12
183,-183,8,order 8,8
185,-740,16,order 16,16
186,-744,12,order 12,12
187,-187,2,Z/2Z,2
190,-760,4,Z/2Z x Z/2Z,4
191,-191,13,order 13,13
193,-772,4,Z/4Z,4
194,-776,20,order 20,20
195,-195,4,Z/2Z x Z/2Z,4
197,-788,10,order 10,10
199,-199,9,order 9,9
